ID	MAP     AI
1	1065.27	1.11
2	1061.19	1.12
3	1027	1.75
4	951.59	2.20
5	1064	1.12
6	1062	1.12
7	1063.70	1.12
8	1052	1.12
9	428.70	2.32
10	428.91	2.2
11	298	5.39
12	455	2.51
13	617.77	2.07
14	427	3.01
15	1352	0.63
16	1437	0.95
17	983	1.43
18	1283.51	1.42
19	1262.11	1.47
20	1211.33	1.5
21	1321	1.42
22	828	1.53
23	628.56	1.68
24	634	1.64
25	1569.15	0.62
26	1875.23	0.61
27	1657.97	0.69
28	1642.10	0.69
29	1575.81	0.72
30	1421.19	1.55
31	1284	0.67
32	1596	0.44
33	1805.51	0.41
34	1157.65	1.15
35	1161	1.15
36	1161	1.15
37	1162.57	1.17
38	1146	1.16
39	1117.72	1.13
40	1187.38	1.12
41	961.83	1.44
42	759.54	1.96
43	756.53	2.05
44	734.27	2.02
45	145.33	10.43
46	123.48	12.45
47	129.28	14.52
48	284	5.32
49	325.81	3.47
50	318.80	4.067
51	319	4.82
52	309.18	5.23
53	488.1	3.63
54	493.30	2.82
55	362.87	3.65
56	364.89	3.66
57	424	3.17
58	495	3.17
59	155	10.15
60	150	10.65
61	130	9.66
62	143	9.38
63	1386.07	0.96
64	1181	1.00
65	76.61	27.68
66	168.03	11.19
67	127	20.59
68	732.45	1.34
69	737.2	1.36
70	634.58	1.43
71	1808.42	0.58
72	1641.7	0.56
73	660.37	1.55
74	1386.18	0.96
75	178	9.77
76	720.33	1.28
77	695	1.65
78	625	1.5
79	1391.34	0.88
80	1391	0.86
81	1086	1.059
82	999.30	1.09
